year/month,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE
2020/04,27.0,2.0,16.0,4.0,23.0,23.0,11.0,9.0,3.0,20.0,2.0,12.0,34.0,32.0,1.0,9.0,19.0,13.0,51.0,2.0,2.0,3.0,5.0,22.0,3.0,6.0,3.0
2020/05,15.0,2.0,21.0,4.0,13.0,16.0,15.0,1.0,0.0,3.0,5.0,8.0,29.0,16.0,2.0,13.0,24.0,5.0,56.0,0.0,7.0,4.0,5.0,21.0,4.0,15.0,7.0
2020/06,25.0,4.0,25.0,8.0,20.0,20.0,29.0,19.0,4.0,10.0,8.0,18.0,40.0,22.0,3.0,9.0,20.0,8.0,50.0,14.0,2.0,1.0,6.0,39.0,1.0,13.0,2.0
2020/07,16.0,14.0,25.0,2.0,13.0,29.0,20.0,2.0,3.0,7.0,6.0,11.0,30.0,16.0,2.0,6.0,23.0,5.0,59.0,5.0,2.0,3.0,18.0,32.0,2.0,25.0,4.0
2020/08,31.0,2.0,31.0,5.0,19.0,27.0,15.0,0.0,2.0,9.0,2.0,4.0,24.0,18.0,3.0,14.0,22.0,6.0,50.0,6.0,7.0,4.0,6.0,27.0,3.0,12.0,4.0
2020/09,23.0,4.0,39.0,6.0,24.0,41.0,17.0,7.0,4.0,10.0,5.0,17.0,32.0,20.0,1.0,23.0,23.0,10.0,70.0,6.0,6.0,1.0,17.0,29.0,1.0,21.0,8.0
2020/10,15.0,0.0,32.0,2.0,19.0,24.0,16.0,2.0,6.0,12.0,3.0,11.0,22.0,21.0,7.0,8.0,17.0,6.0,58.0,6.0,6.0,2.0,19.0,29.0,0.0,5.0,5.0
2020/11,29.0,2.0,25.0,6.0,15.0,29.0,15.0,6.0,2.0,6.0,6.0,34.0,26.0,19.0,2.0,12.0,17.0,11.0,48.0,7.0,8.0,1.0,13.0,20.0,3.0,6.0,9.0
2020/12,26.0,4.0,33.0,9.0,28.0,34.0,19.0,4.0,3.0,15.0,10.0,16.0,37.0,31.0,3.0,18.0,33.0,7.0,84.0,65.0,5.0,4.0,7.0,22.0,4.0,18.0,11.0
2021/01,23.0,9.0,39.0,8.0,30.0,44.0,21.0,0.0,2.0,12.0,10.0,14.0,41.0,25.0,2.0,8.0,31.0,10.0,71.0,4.0,12.0,2.0,9.0,44.0,5.0,38.0,1.0
2021/02,27.0,4.0,28.0,4.0,26.0,37.0,8.0,0.0,4.0,10.0,6.0,11.0,9.0,30.0,0.0,4.0,17.0,1.0,54.0,9.0,3.0,0.0,9.0,21.0,1.0,13.0,3.0
2021/03,20.0,6.0,34.0,3.0,13.0,33.0,15.0,1.0,6.0,10.0,5.0,17.0,37.0,12.0,3.0,9.0,25.0,6.0,67.0,11.0,9.0,3.0,13.0,43.0,4.0,16.0,6.0
2021/04,16.0,4.0,26.0,4.0,27.0,33.0,16.0,6.0,3.0,8.0,3.0,9.0,32.0,23.0,6.0,21.0,23.0,13.0,61.0,6.0,2.0,2.0,18.0,25.0,2.0,18.0,4.0
2021/05,22.0,7.0,26.0,3.0,21.0,28.0,29.0,0.0,1.0,8.0,3.0,14.0,40.0,24.0,0.0,13.0,17.0,9.0,53.0,9.0,4.0,6.0,10.0,48.0,1.0,12.0,6.0
2021/06,14.0,2.0,27.0,3.0,20.0,25.0,24.0,0.0,4.0,11.0,6.0,18.0,35.0,25.0,6.0,14.0,23.0,7.0,69.0,7.0,8.0,5.0,4.0,20.0,2.0,11.0,8.0
2021/07,20.0,12.0,31.0,4.0,20.0,31.0,7.0,0.0,7.0,9.0,5.0,26.0,24.0,22.0,1.0,14.0,21.0,6.0,65.0,13.0,4.0,5.0,15.0,19.0,3.0,26.0,5.0
2021/08,20.0,0.0,39.0,2.0,21.0,24.0,8.0,0.0,9.0,8.0,1.0,8.0,34.0,18.0,4.0,17.0,23.0,4.0,61.0,19.0,7.0,2.0,12.0,18.0,3.0,9.0,10.0
2021/09,25.0,5.0,32.0,5.0,27.0,32.0,9.0,0.0,7.0,8.0,5.0,20.0,39.0,15.0,4.0,19.0,32.0,8.0,72.0,11.0,9.0,3.0,20.0,30.0,4.0,15.0,15.0
2021/10,25.0,6.0,35.0,11.0,21.0,33.0,10.0,0.0,8.0,9.0,9.0,10.0,20.0,27.0,8.0,18.0,26.0,2.0,67.0,12.0,6.0,3.0,16.0,24.0,1.0,18.0,9.0
2021/11,17.0,3.0,31.0,3.0,30.0,43.0,11.0,0.0,1.0,9.0,6.0,26.0,23.0,28.0,3.0,13.0,22.0,7.0,70.0,13.0,1.0,4.0,17.0,29.0,1.0,10.0,5.0
2021/12,36.0,7.0,54.0,7.0,32.0,48.0,21.0,4.0,7.0,17.0,5.0,18.0,48.0,42.0,3.0,27.0,32.0,9.0,142.0,123.0,6.0,6.0,11.0,35.0,2.0,41.0,15.0
2022/01,58.0,24.0,45.0,10.0,28.0,32.0,11.0,1.0,4.0,8.0,6.0,10.0,42.0,29.0,9.0,22.0,30.0,2.0,109.0,11.0,9.0,4.0,17.0,19.0,5.0,39.0,12.0
